Subject	Activity	Activity Name	tBodyAcc.std...X	tBodyAcc.std...Y	tBodyAcc.std...Z	tGravityAcc.std...X	tGravityAcc.std...Y	tGravityAcc.std...Z	tBodyAccJerk.std...X	tBodyAccJerk.std...Y	tBodyAccJerk.std...Z	tBodyGyro.std...X	tBodyGyro.std...Y	tBodyGyro.std...Z	tBodyGyroJerk.std...X	tBodyGyroJerk.std...Y	tBodyGyroJerk.std...Z	tBodyAccMag.std..	tGravityAccMag.std..	tBodyAccJerkMag.std..	tBodyGyroMag.std..	tBodyGyroJerkMag.std..	fBodyAcc.std...X	fBodyAcc.std...Y	fBodyAcc.std...Z	fBodyAccJerk.std...X	fBodyAccJerk.std...Y	fBodyAccJerk.std...Z	fBodyGyro.std...X	fBodyGyro.std...Y	fBodyGyro.std...Z	fBodyAccMag.std..	fBodyBodyAccJerkMag.std..	fBodyBodyGyroMag.std..	fBodyBodyGyroJerkMag.std..	tBodyAcc.mean...X	tBodyAcc.mean...Y	tBodyAcc.mean...Z	tGravityAcc.mean...X	tGravityAcc.mean...Y	tGravityAcc.mean...Z	tBodyAccJerk.mean...X	tBodyAccJerk.mean...Y	tBodyAccJerk.mean...Z	tBodyGyro.mean...X	tBodyGyro.mean...Y	tBodyGyro.mean...Z	tBodyGyroJerk.mean...X	tBodyGyroJerk.mean...Y	tBodyGyroJerk.mean...Z	tBodyAccMag.mean..	tGravityAccMag.mean..	tBodyAccJerkMag.mean..	tBodyGyroMag.mean..	tBodyGyroJerkMag.mean..	fBodyAcc.mean...X	fBodyAcc.mean...Y	fBodyAcc.mean...Z	fBodyAccJerk.mean...X	fBodyAccJerk.mean...Y	fBodyAccJerk.mean...Z	fBodyGyro.mean...X	fBodyGyro.mean...Y	fBodyGyro.mean...Z	fBodyAccMag.mean..	fBodyBodyAccJerkMag.mean..	fBodyBodyGyroMag.mean..	fBodyBodyGyroJerkMag.mean..	fBodyAcc.meanFreq...X	fBodyAcc.meanFreq...Y	fBodyAcc.meanFreq...Z	fBodyAccJerk.meanFreq...X	fBodyAccJerk.meanFreq...Y	fBodyAccJerk.meanFreq...Z	fBodyGyro.meanFreq...X	fBodyGyro.meanFreq...Y	fBodyGyro.meanFreq...Z	fBodyAccMag.meanFreq..	fBodyBodyAccJerkMag.meanFreq..	fBodyBodyGyroMag.meanFreq..	fBodyBodyGyroJerkMag.meanFreq..
10	1	WALKING	528.0566038	1503.245283	789.3396226	1251.132075	1493.132075	1411.301887	1118.584906	1879.584906	593.9056604	493.2264151	164.5660377	237.1320755	337.8490566	412.490566	260.4528302	441.3207547	441.3207547	1960.150943	524.4150943	434.3773585	568.9056604	921.1886792	874.1886792	1023.54717	1701.301887	632.4339623	509.9056604	248.9245283	238.4528302	510.1132075	1985.075472	656.3584906	418.5283019	101514.8679	1709.811321	1723.113208	102441.5094	1495.245283	2255.320755	804.5471698	1310.584906	1478.886792	2011.283019	1416.566038	1084.09434	1509.358491	1587.54717	1736.509434	473.5283019	473.5283019	472.3773585	233.9433962	396.754717	715.3396226	1669.566038	725.6792453	892.3207547	1624.056604	539.4150943	315.4716981	327.6981132	786.6792453	883.754717	1963	482.4528302	460.6603774	829.7735849	2080.339623	2044.301887	774.6037736	949.7358491	1817.433962	1132.075472	1295.264151	874.4150943	1844.735849	905.5283019	2112.339623	1133.754717
10	2	WALKING_UPSTAIRS	530.0425532	1535.659574	1403.361702	830.8085106	807.893617	491.8085106	572.212766	481	864.5106383	489.106383	2021.276596	636.3404255	504.5531915	653.8297872	593.106383	450.8297872	450.8297872	425.9787234	1144.829787	733.4042553	644.5957447	1359.361702	1518.574468	569.4468085	531.1702128	931.106383	402.5319149	2891.340426	589.9787234	500.893617	466.7659574	793.4042553	801.2765957	101209.8723	1962.744681	1823.978723	101588.7234	1536.021277	1536.893617	713.8085106	1383.297872	1273.021277	2209.148936	1527.851064	1108.06383	1393.659574	1760.765957	1533.638298	1361.893617	1361.893617	467.4255319	2121.765957	607.2765957	586.4468085	1371.531915	539.5744681	495.7659574	357.6808511	790.4468085	561.6808511	182.4255319	540.0212766	446.3404255	532.7446809	283.5106383	691.8085106	962.3617021	1460.446809	820.7446809	649.7234043	1091.957447	954.9148936	1087.723404	1326.042553	1068.510638	1736.829787	1371.382979	738.0212766	1551.170213
10	3	WALKING_DOWNSTAIRS	2846.947368	1683.710526	411.3947368	549.8157895	772.1052632	651.4210526	2831.131579	971.2894737	257.9210526	631.4210526	253.8947368	1441.684211	476.9473684	344.5526316	383.6315789	2772.921053	2772.921053	2632.631579	626.8947368	424.6052632	2837.131579	1475.973684	358.2631579	2790.552632	661.6315789	297.1842105	675.8684211	310.2105263	1204.263158	1224.421053	1741.131579	617.6842105	487.6842105	101653.9211	1741.921053	1870.105263	101775.8158	1371.736842	2055.657895	997.3421053	1254.105263	1508.5	1732.105263	1556.763158	1243.815789	1821.552632	1678.973684	1782.421053	2796.447368	2796.447368	2196.921053	1477.447368	321.8421053	2779.026316	1599.421053	421.7631579	2845.236842	760.2631579	391.0526316	772.2105263	230.7105263	1530.105263	2763.368421	2680.789474	320.3947368	395.7368421	979.6315789	1775.736842	1868.289474	673.8421053	841.2894737	1711.236842	1308	1569	1061.157895	1682.473684	1657.157895	1785.263158	1478.026316
10	4	SITTING	2208.851852	1833.148148	2397.111111	2115.685185	1953.240741	2345.425926	2291.907407	2244.796296	2466.944444	2588.685185	2514.37037	2089.537037	2553.240741	2604.722222	2505.12963	2147.5	2147.5	2229	2395.777778	2604.537037	2173.574074	1907.574074	2381.5	2315.203704	2256.740741	2485.518519	2594.185185	2503.740741	2101.555556	2297.944444	2148.333333	2418.296296	2604	101471.9074	1151.5	830.9074074	101144.2407	1657.388889	1827.703704	2006.722222	1727.777778	1469.351852	924.6851852	1472.87037	1696	1896.111111	1308.555556	1630.240741	2179.481481	2179.481481	2444.240741	2234.518519	2642.740741	2246.962963	1940.148148	2441.388889	2342.388889	2287.259259	2443.018519	2511.796296	2530.37037	2160.648148	2086.055556	2242.759259	2450.222222	2612.425926	1751.314815	1653.685185	2005.425926	2004.981481	2129.425926	2131.351852	2261.851852	2039.777778	1431.111111	1859.018519	1859.314815	1422.407407	1953.981481
10	5	STANDING	1893.090909	1361.340909	2005.477273	2235.909091	1718.113636	1732.227273	1706.5	1535.545455	2113.590909	1761.090909	2032.090909	1870.5	1800.954545	2085.909091	1825.340909	1733.545455	1733.545455	1671.181818	1867.568182	1948.568182	1912.590909	1470.227273	2003.613636	1722.477273	1536.340909	2108.318182	1753.409091	2021.590909	1924.704545	1924.863636	1700.068182	1900.5	1951.772727	101540.2727	1368.522727	1314.068182	102138.5227	1408.727273	1896.431818	2009.931818	1720.090909	1392.386364	1146.090909	1387.113636	1707.522727	1122.022727	1473.977273	1360.159091	1715.636364	1715.636364	1806.5	1784.318182	1933.340909	1842.113636	1395.068182	2048.409091	1763	1592.704545	2102	1711.204545	2037.022727	1832.454545	1663.636364	1672.090909	1906.204545	1955.704545	2236.204545	1272.977273	1624.113636	2083.818182	1395.204545	1715	1397.568182	1318.659091	1257.681818	1497.454545	1633.068182	1076.340909	1052.181818
10	6	LAYING	1873.344828	1778.758621	2248.189655	1747.362069	2217.5	2292.775862	1819.758621	1976.775862	2198.534483	2209.241379	2040.137931	2253.241379	2084.241379	1901.362069	2236.965517	2007.551724	2007.551724	1823.844828	2057.5	1860.362069	1854.448276	1896.775862	2304.603448	1821.431034	1974.448276	2180.310345	2223.137931	2054.051724	2298.672414	2210.12069	1819.551724	2150.793103	1872	101468.7586	1036.948276	870.5344828	10339.75862	2232.482759	1675.293103	2023.637931	1691.948276	1448.172414	1297.913793	1470.948276	2082.327586	1400.62069	1385.448276	1422.12069	1978.103448	1978.103448	2016.362069	2002.034483	1920.758621	1868.137931	1828.965517	2258.965517	1887.827586	2031.482759	2197.465517	2104.310345	2013.241379	2226.224138	1900.706897	1836.517241	2016.913793	1860.862069	1526.948276	1928.551724	1977.448276	1822.603448	2031.224138	2067.172414	1836.982759	1902.37931	1806.327586	1897.465517	1583.482759	2011.551724	1737.310345
12	1	WALKING	628.54	990.22	772.12	1379.6	1283.94	1258.86	1452	924.96	611.74	878.48	589.94	638.46	445.14	593.7	589.66	457.74	457.74	1270.62	562.18	546.38	461.92	598.54	864.78	1384.86	1072.4	569.2	909.24	590.96	625.34	626.72	1298.58	641.74	523.2	1471.02	1846.3	1892.26	2592.26	275.16	711.5	747.46	1250.36	1525.68	1612.38	1439.16	1297.9	1601.7	1511.02	1520.16	686.46	686.46	450.36	678.86	590.56	1269.3	1121.84	722.92	1139.5	700.28	632.92	654.7	596.28	631.16	915.62	1359.1	573.42	579.4	912.2	2064.06	1839.04	729.24	754.84	738.84	1647.6	1667.7	1521.14	1886.18	1002.92	2127.84	1232.76
12	2	WALKING_UPSTAIRS	476.5961538	837.8653846	892.8653846	939.25	869.5192308	998.5	607.5961538	698.3653846	1159.653846	939.5192308	797.5576923	570.3846154	858.0192308	1057.076923	955.0769231	444.2884615	444.2884615	498.8461538	1094.423077	1026.384615	457.4423077	751.9615385	821.6538462	663.2884615	673.6346154	1164.596154	878.6346154	682.5576923	563.3653846	587.5384615	498.1346154	1043.884615	985	1442.923077	1706.346154	1695.326923	1723.730769	930.5769231	803.1153846	881.9230769	1278.288462	1540.826923	1924.961538	1380.711538	1167.384615	1577.942308	1580.038462	1558.288462	431.8269231	431.8269231	860.5	548.0384615	1106.980769	538.1153846	1100.788462	1085.615385	644.6538462	634.3076923	1136.134615	797.3461538	955.1153846	721.8461538	407	488.4615385	1037.365385	1060.615385	1365.923077	1058.288462	629.2884615	969.9615385	1170.5	958.9423077	1053.75	1082.576923	1250.942308	1226.653846	1464.480769	1068.615385	1277.288462
12	3	WALKING_DOWNSTAIRS	1917.826087	1693.23913	836.826087	822.1086957	857.9782609	945.6086957	1614.608696	1654.130435	558.1956522	531.1521739	649.5217391	559.8695652	607.0217391	452.826087	599.673913	2373.326087	2373.326087	1881.913043	596.8043478	532.2608696	1919.521739	1590.913043	964.6521739	1251.630435	1574.826087	591.8043478	609.2173913	782.826087	674.7608696	857.2173913	1800.391304	595.1086957	571.8695652	1528.065217	1859.586957	1717.456522	2018.413043	417.3913043	669.8913043	751.0217391	1088.934783	1431.934783	1594.891304	1764.217391	1132.673913	1662.847826	1210.086957	1434.130435	1583.5	1583.5	1114.891304	642.0434783	428.1521739	1941.478261	1887.195652	690.0434783	1594.978261	1327.217391	510.8478261	969.5	501.826087	484.0869565	2379.673913	1864.565217	456.5869565	458.5652174	1018.326087	1677.673913	1934.391304	666.4130435	1184.956522	1285.652174	1454.630435	2251.282609	1745.804348	1400.652174	1242.086957	1933.173913	1447.478261
12	4	SITTING	1840.470588	1513.568627	1812.960784	2067.27451	1642.901961	1503.117647	1691.352941	1679.392157	1988.745098	2120.313725	1932.607843	1851.078431	2004.568627	1924.784314	1874.54902	1707.235294	1707.235294	1683.294118	2000.901961	1980.156863	1854.156863	1618.705882	1814.078431	1710.823529	1684.078431	2019.137255	2133.803922	1937.098039	1893.784314	1896.980392	1703.137255	2053.980392	2004.470588	1500.509804	1221.058824	1412.333333	2211.254902	1573.352941	1821.705882	2140.666667	1563.470588	1492.862745	984.7058824	1314.980392	1565.117647	1411.215686	1397.058824	1496.27451	1681.294118	1681.294118	1816.588235	1910.137255	1966.392157	1792	1544.764706	1850.490196	1749.647059	1733.705882	1962.352941	2011.098039	1911.882353	1836.411765	1644.941176	1688.803922	2004.803922	1975.254902	2102.745098	1543.117647	1237.176471	2004.431373	1354.431373	1326.666667	1327.078431	1170.647059	1347.784314	1277.196078	1619.745098	1211.215686	1545.313725
